Bifidobacterium sp. (ATCC BAA-718),$550.00,$467.50,NA,NA,Vitek #400708 [NSB 89697],1,freeze-dried,ATCC  1490: Modified chopped meat medium,"Temperature: 37.0Celsius 
Atmosphere: Anaerobic",NA,NA,NA,Quality control strain,https://www.atcc.org/~/ps/BAA-718.ashx
Capnocytophaga sp. (ATCC BAA-717),$550.00,$467.50,NA,NA,Vitek #400375 [NSB #85788],1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Quality control strain,https://www.atcc.org/~/ps/BAA-717.ashx
Moryella indoligenes (ATCC BAA-695),$550.00,$467.50,seqeunce available,Unidentified bacterium,MDA2477,2,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-695.ashx
Hespellia stercorisuis Whitehead et al. (ATCC BAA-676),$550.00,$467.50,NA,NA,"NRRL B-23456 [CCUG 46279, PC18]",1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-676.ashx
Hespellia porcina Whitehead et al. (ATCC BAA-675),$550.00,$467.50,NA,Hespellia porcinus,NRRL B-23459 [PC82],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-675.ashx
Hespellia porcina Whitehead et al. (ATCC BAA-674),$550.00,$467.50,NA,Hespellia porcinus,NRRL B-23458 [PC80],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37.0Celsius 
Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-674.ashx
Propionispora hippei Abou-Zeid et al. (ATCC BAA-665),$550.00,$467.50,NA,NA,KS [DSM 15287],1,freeze-dried,ATCC  1754: PETC medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Degrades poly (propylene adipate)Produces propionic acid,https://www.atcc.org/~/ps/BAA-665.ashx
Sporotalea propionica (ATCC BAA-626),$550.00,$467.50,NA,NA,TmPN3 [DSM 13327],1,freeze-dried,Sportalea medium with fructose,"Temperature: 30.0Celsius 
Atmosphere: Anaerobic",NA,NA,NA,Oxidizes hydrogenReduces oxygen,https://www.atcc.org/~/ps/BAA-626.ashx
Clostridium ragsdalei (ATCC BAA-622),$550.00,$467.50,NA,NA,P11,1,freeze-dried,ATCC  1754: PETC medium,"Temperature: 30Celsius 
Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-622.ashx
Soehngenia saccharolytica Parshina et al. (ATCC BAA-502),$550.00,$467.50,NA,NA,BOR-Y [DSM 12858],1,freeze-dried,ATCC  2347:  for benzaldehyde utilization,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Degrades benzaldehyde,https://www.atcc.org/~/ps/BAA-502.ashx
