Treponema primitia Graber et al. (ATCC BAA-887),$550.00,$467.50,unavailable,ZAS-2 [DSM 12427],1,frozen,ATCC  2479: 4YACO,"Temperature: 26Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Cryptanaerobacter phenolicus Juteau et al. (ATCC BAA-820),$550.00,$467.50,unavailable,LR7.2 [DSM 15808],1,frozen,Cryptanaerobacter phenolicus,"Temperature: 37Celsius 
Atmosphere: Anaerobic",-80Celsius  or colder,Transforms phenol
Bifidobacterium sp. (ATCC BAA-718),$550.00,$467.50,unavailable,Vitek #400708 [NSB 89697],1,freeze-dried,ATCC  1490: Modified chopped meat medium,"Temperature: 37.0Celsius 
Atmosphere: Anaerobic",unavailable,Quality control strain
Capnocytophaga sp. (ATCC BAA-717),$550.00,$467.50,unavailable,Vitek #400375 [NSB #85788],1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Quality control strain
Moryella indoligenes (ATCC BAA-695),$550.00,$467.50,seqeunce available,MDA2477,2,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: anaerobic,unavailable,unavailable
Hespellia stercorisuis Whitehead et al. (ATCC BAA-676),$550.00,$467.50,unavailable,"NRRL B-23456 [CCUG 46279, PC18]",1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Anaerobic",unavailable,unavailable
Hespellia porcina Whitehead et al. (ATCC BAA-675),$550.00,$467.50,unavailable,NRRL B-23459 [PC82],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Anaerobic",unavailable,unavailable
Hespellia porcina Whitehead et al. (ATCC BAA-674),$550.00,$467.50,unavailable,NRRL B-23458 [PC80],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37.0Celsius 
Atmosphere: Anaerobic",unavailable,unavailable
Propionispora hippei Abou-Zeid et al. (ATCC BAA-665),$550.00,$467.50,unavailable,KS [DSM 15287],1,freeze-dried,ATCC  1754: PETC medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Degrades poly (propylene adipate)Produces propionic acid
Sporotalea propionica (ATCC BAA-626),$550.00,$467.50,unavailable,TmPN3 [DSM 13327],1,freeze-dried,Sportalea medium with fructose,"Temperature: 30.0Celsius 
Atmosphere: Anaerobic",unavailable,Oxidizes hydrogenReduces oxygen
Clostridium ragsdalei (ATCC BAA-622),$550.00,$467.50,unavailable,P11,1,freeze-dried,ATCC  1754: PETC medium,"Temperature: 30Celsius 
Atmosphere: Anaerobic",unavailable,unavailable
Soehngenia saccharolytica Parshina et al. (ATCC BAA-502),$550.00,$467.50,unavailable,BOR-Y [DSM 12858],1,freeze-dried,ATCC  2347:  for benzaldehyde utilization,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Degrades benzaldehyde
Clostridium amygdalinum Parshina et al. (ATCC BAA-501),$550.00,$467.50,unavailable,BR-10 [DSM 12857],1,freeze-dried,ATCC  2347:  for benzaldehyde utilization,Temperature: 45.0Celsius Atmosphere: Anaerobic,unavailable,Degrades benzaldehyde
Butyrivibrio hungatei Kopecny et al. (ATCC BAA-456),$550.00,$467.50,unavailable,JK 615 [DSM 14810],1,freeze-dried,ATCC  1365: E medium for anaerobes (ATCC medium 602) with 0.1% cellobiose,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Produces butyrates butyrate
Pseudobutyrivibrio xylanivorans Kopecny et al. (ATCC BAA-455),$550.00,$467.50,unavailable,Mz5 [DSM 14809],1,freeze-dried,unavailable,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Produces butyrates butyrate
Clostridium sp. (ATCC BAA-442),$550.00,$467.50,unavailable,HGH 136,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Metabolizes daidzein
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-2825),$550.00,$467.50,unavailable,tcdC-8 CD02141,2,frozen,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-2824),$550.00,$467.50,unavailable,tcdC-1 CD02549,2,frozen,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 

Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-2823),$550.00,$467.50,unavailable,tcdC-47 CD03230,2,frozen,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC BAA-2696),$550.00,$467.50,unavailable,unavailable,1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Sanguibacteroides justesenii (ATCC BAA-2682),$550.00,$467.50,unavailable,DCM OUH 12 334697,2,frozen,ATCC  1490: Modified chopped meat medium,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Sanguibacteroides justesenii (ATCC BAA-2681),$550.00,$467.50,unavailable,DCM OUH 08 308042,2,frozen,ATCC  1490: Modified chopped meat medium,"Temperature: 37Celsius 

Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Peptoanaerobacter stomatis Sizova (ATCC BAA-2665),$550.00,$467.50,unavailable,ACC19a,1,frozen,"ATCC  5608: PY  (M2-VPI) With D-Glucose w/ Durham Tube

ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
